Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Value new (USD),Value used (USD),Launch date,Exit date
31203-1,Art,Miscellaneous,2021,World Map,,11695,214.99,249.99,349.99,249.99,5.70202E+12,6.73419E+11,55.2,38.4,15.2,,224.74,193.13,1/6/2021,31/12/2023
10307-1,Icons,Landmarks,2022,Eiffel Tower,,10001,554.99,629.99,799.99,629.99,,,58.5,47.5,38.5,,631.1,585.92,25/11/2022,31/12/2025
10294-1,Icons,Miscellaneous,2021,Titanic,,9090,589.99,679.99,849.99,679.99,5.70202E+12,,58.5,47.5,38.5,,690.74,622.15,8/11/2021,31/12/2024
10276-1,Icons,Buildings,2020,Colosseum,,9036,474.99,549.99,649.99,549.99,5.70202E+12,,53.5,48.4,28.4,,525.05,412.65,27/11/2020,31/12/2023
75192-1,Star Wars,Ultimate Collector Series,2017,Millennium Falcon,8,7541,734.99,849.99,1049.99,849.99,5.70202E+12,,53.3,46,38.5,,699,568.41,1/10/2017,31/12/2023
75313-1,Star Wars,Ultimate Collector Series,2021,AT-AT,9,6785,734.99,849.99,1049.99,849.99,5.70202E+12,,49.9,49.9,37.9,,738.57,557.33,26/11/2021,31/12/2023
75331-1,Star Wars,Ultimate Collector Series,2022,The Razor Crest,4,6187,519.99,599.99,759.99,599.99,,,52.3,48,23.8,,556.54,,3/10/2022,31/12/2024
71043-1,Harry Potter,General,2018,Hogwarts Castle,28,6020,409.99,469.99,589.99,469.99,5.70202E+12,,58.5,49,19,,367.13,321.48,1/9/2018,31/12/2024
10256-1,Creator Expert,Buildings,2017,Taj Mahal,,5923,299.99,369.99,449.99,321.67,5.70202E+12,,58.5,49,19,,373.83,252.07,1/12/2017,31/12/2020
10189-1,Advanced models,Buildings,2008,Taj Mahal,,5922,199.99,299.99,399.99,,5.70201E+12,,65.2,48,12.7,,1130.57,249.69,1/10/2008,31/12/2010
10299-1,Icons,Stadiums,2022,Real Madrid - Santiago Bernabéu Stadium,,5876,344.99,399.99,499.99,399.99,5.70202E+12,,52.3,48,21.8,,312.77,,1/3/2022,31/12/2023
71741-1,Ninjago,General,2021,NINJAGO City Gardens,22,5685,299.99,349.99,449.99,349.99,5.70202E+12,,48,58.2,17,,264.06,226.55,1/2/2021,31/12/2024
75978-1,Harry Potter,General,2020,Diagon Alley,17,5544,389.99,449.99,559.99,449.99,5.70202E+12,,58.2,48,17,,420.88,350.66,1/9/2020,31/12/2024
10284-1,Icons,Stadiums,2021,Camp Nou - FC Barcelona,,5509,289.99,349.99,449.99,329.99,5.70202E+12,,58.2,48,17,,254.04,189.78,1/9/2021,31/12/2022
10179-1,Star Wars,Ultimate Collector Series,2007,Ultimate Collector's Millennium Falcon,5,5197,342.49,499.99,,,5.70201E+12,6.73419E+11,65.2,48,19.2,,2165.01,1029.16,1/10/2007,31/12/2009
76405-1,Harry Potter,General,2022,Hogwarts Express - Collectors' Edition,20,5129,429.99,499.99,619.99,499.99,,,52.3,48,21.8,,495.31,,31/08/2022,31/12/2025
2000409-1,Serious Play,,2010,Window Exploration Bag,,4900,314.99,484.99,484.99,359.99,5.70201E+12,,,,,,395.52,,,
70620-1,The LEGO Ninjago Movie,,2017,NINJAGO City,19,4867,259.99,299.99,349.99,299.99,5.70202E+12,,49,58.5,19,,666.49,511.6,1/9/2017,31/12/2019
75252-1,Star Wars,Ultimate Collector Series,2019,Imperial Star Destroyer,2,4784,614.99,699.99,849.99,699.99,5.70202E+12,6.73419E+11,53.3,46,38.5,12.42,715.71,621.13,1/10/2019,31/12/2022
75827-1,Ghostbusters,,2016,Firehouse Headquarters ,10,4634,284.99,349.99,399.99,349.99,5.70202E+12,6.73419E+11,58.5,49,19,,653.39,539.5,1/1/2016,31/12/2018
10305-1,Icons,Castle System,2022,Lion Knights' Castle,22,4514,344.99,399.99,499.99,399.99,5.70202E+12,,52.3,48,21.8,,396.11,349.43,3/8/2022,31/12/2025
40179-1,Miscellaneous,,2016,Personalised Mosaic Portrait,,4502,99.99,129.99,169.99,99.99,,6.73419E+11,,,,,98.45,,,
10214-1,Advanced models,Buildings,2010,Tower Bridge,,4287,219.99,239.99,299.99,219.99,5.70202E+12,6.73419E+11,58.2,48,12.7,4.35,269.34,183.51,1/10/2010,31/12/2012
31201-1,Art,Licensed,2021,Harry Potter Hogwarts Crests,,4249,104.99,119.99,149.99,119.99,5.70202E+12,,40.4,37.8,5,,87.35,75,1/1/2021,31/12/2022
31205-1,Art,Licensed,2022,Jim Lee Batman Collection,,4167,104.99,119.99,149.99,119.99,5.70202E+12,,40.4,37.8,5,,102.58,80,1/3/2022,31/12/2023
